epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,2360.5,2.10093,3.57569,2.38284,0.25307,0.00755,0.00307,0.00083,3.01056,4.77545,3.68327,0.00352037,0.00352037,0.00352037
62,2399.25,2.11665,3.58663,2.38865,0.2539,0.00378,0.00324,0.00092,3.00459,4.73265,3.66823,0.00337325,0.00337325,0.00337325
63,2437.94,2.10008,3.57548,2.38193,0.00231,0.17128,0.00341,0.00085,3.01685,4.7775,3.66394,0.00322778,0.00322778,0.00322778
64,2476.78,2.08469,3.55079,2.37972,0.50632,0.00336,0.00324,0.00092,3.0388,4.76023,3.69059,0.00308412,0.00308412,0.00308412
65,2515.61,2.09386,3.55427,2.37282,0.5054,0.00378,0.00349,0.00092,3.02235,4.76444,3.66276,0.00294239,0.00294239,0.00294239
66,2554.35,2.11373,3.57036,2.39034,0.00249,0.17302,0.00327,0.00088,3.02968,4.77164,3.6931,0.00280275,0.00280275,0.00280275
67,2592.89,2.08954,3.53288,2.36629,0.50406,0.00378,0.00352,0.00096,2.99513,4.75633,3.65799,0.00266532,0.00266532,0.00266532
68,2631.85,2.08535,3.54365,2.35759,0.50511,0.00461,0.00459,0.00121,3.00945,4.72451,3.67715,0.00253024,0.00253024,0.00253024
69,2671.08,2.0772,3.54093,2.36291,0.50542,0.00419,0.00439,0.00117,3.02313,4.78577,3.72193,0.00239766,0.00239766,0.00239766
70,2710.46,2.08924,3.5387,2.3725,0.50758,0.00503,0.00499,0.00137,3.0004,4.78048,3.69068,0.00226769,0.00226769,0.00226769
71,2749.39,2.06807,3.53551,2.35968,0.50807,0.00378,0.00487,0.00114,2.98647,4.76443,3.6807,0.00214046,0.00214046,0.00214046
72,2788.2,2.07809,3.5527,2.36956,0.50692,0.00336,0.004,0.0013,2.96727,4.75589,3.67367,0.00201611,0.00201611,0.00201611
73,2827.14,2.07043,3.54136,2.36218,0.50734,0.00378,0.00345,0.00097,2.98621,4.74541,3.67713,0.00189475,0.00189475,0.00189475
74,2866.02,2.06968,3.52837,2.36082,0.50545,0.00294,0.00354,0.00097,2.99396,4.7863,3.68598,0.00177651,0.00177651,0.00177651
75,2904.91,2.07924,3.53922,2.36229,0.00238,0.17891,0.0031,0.00106,2.9746,4.764,3.64989,0.00166149,0.00166149,0.00166149
76,2943.54,2.06039,3.51327,2.35309,0.00237,0.17531,0.00321,0.00108,2.9925,4.7657,3.66545,0.00154982,0.00154982,0.00154982
